gpu_pipeline session log
timestamp: Wed Sep  3 22:14:48 2025
input_dir: "data"
output_dir: "outputs/run_streams"
ops: gauss,sobel,histeq
OK   small_1489.pgm -> small_1489.pgm
OK   small_678.pgm -> small_678.pgm
OK   small_219.pgm -> small_219.pgm
OK   small_1039.pgm -> small_1039.pgm
OK   small_1458.pgm -> small_1458.pgm
OK   small_1161.pgm -> small_1161.pgm
OK   small_390.pgm -> small_390.pgm
OK   small_845.pgm -> small_845.pgm
OK   small_437.pgm -> small_437.pgm
OK   small_1500.pgm -> small_1500.pgm
OK   small_1972.pgm -> small_1972.pgm
OK   small_056.pgm -> small_056.pgm
OK   small_720.pgm -> small_720.pgm
OK   small_087.pgm -> small_087.pgm
OK   small_1276.pgm -> small_1276.pgm
OK   small_341.pgm -> small_341.pgm
OK   small_894.pgm -> small_894.pgm
OK   small_1617.pgm -> small_1617.pgm
OK   small_604.pgm -> small_604.pgm
OK   small_1352.pgm -> small_1352.pgm
OK   small_1887.pgm -> small_1887.pgm
OK   small_265.pgm -> small_265.pgm
OK   small_1733.pgm -> small_1733.pgm
OK   small_1094.pgm -> small_1094.pgm
OK   small_1045.pgm -> small_1045.pgm
OK   small_513.pgm -> small_513.pgm
OK   small_961.pgm -> small_961.pgm
OK   small_1383.pgm -> small_1383.pgm
OK   small_1856.pgm -> small_1856.pgm
OK   small_1424.pgm -> small_1424.pgm
OK   small_172.pgm -> small_172.pgm
OK   small_839.pgm -> small_839.pgm
OK   small_603.pgm -> small_603.pgm
OK   small_1880.pgm -> small_1880.pgm
OK   small_1355.pgm -> small_1355.pgm
OK   small_262.pgm -> small_262.pgm
OK   small_1093.pgm -> small_1093.pgm
OK   small_1734.pgm -> small_1734.pgm
OK   small_1042.pgm -> small_1042.pgm
OK   small_966.pgm -> small_966.pgm
OK   small_514.pgm -> small_514.pgm
OK   small_1423.pgm -> small_1423.pgm
OK   small_1851.pgm -> small_1851.pgm
OK   small_1384.pgm -> small_1384.pgm
OK   small_175.pgm -> small_175.pgm
OK   small_1909.pgm -> small_1909.pgm
OK   small_1329.pgm -> small_1329.pgm
OK   small_1748.pgm -> small_1748.pgm
OK   small_568.pgm -> small_568.pgm
OK   small_1799.pgm -> small_1799.pgm
OK   small_109.pgm -> small_109.pgm
OK   small_1166.pgm -> small_1166.pgm
OK   small_430.pgm -> small_430.pgm
OK   small_842.pgm -> small_842.pgm
OK   small_397.pgm -> small_397.pgm
OK   small_1975.pgm -> small_1975.pgm
OK   small_1507.pgm -> small_1507.pgm
OK   small_051.pgm -> small_051.pgm
OK   small_080.pgm -> small_080.pgm
OK   small_727.pgm -> small_727.pgm
OK   small_1271.pgm -> small_1271.pgm
OK   small_893.pgm -> small_893.pgm
OK   small_346.pgm -> small_346.pgm
OK   small_1610.pgm -> small_1610.pgm
OK   small_968.pgm -> small_968.pgm
OK   small_1114.pgm -> small_1114.pgm
OK   small_442.pgm -> small_442.pgm
OK   small_830.pgm -> small_830.pgm
OK   small_1907.pgm -> small_1907.pgm
OK   small_1575.pgm -> small_1575.pgm
OK   small_784.pgm -> small_784.pgm
OK   small_023.pgm -> small_023.pgm
OK   small_755.pgm -> small_755.pgm
OK   small_1203.pgm -> small_1203.pgm
OK   small_334.pgm -> small_334.pgm
OK   small_493.pgm -> small_493.pgm
OK   small_1662.pgm -> small_1662.pgm
OK   small_671.pgm -> small_671.pgm
OK   small_1327.pgm -> small_1327.pgm
OK   small_1480.pgm -> small_1480.pgm
OK   small_210.pgm -> small_210.pgm
OK   small_1746.pgm -> small_1746.pgm
OK   small_1797.pgm -> small_1797.pgm
OK   small_1030.pgm -> small_1030.pgm
OK   small_914.pgm -> small_914.pgm
OK   small_566.pgm -> small_566.pgm
OK   small_1451.pgm -> small_1451.pgm
OK   small_1823.pgm -> small_1823.pgm
OK   small_107.pgm -> small_107.pgm
OK   small_399.pgm -> small_399.pgm
OK   small_1168.pgm -> small_1168.pgm
OK   small_1509.pgm -> small_1509.pgm
OK   small_729.pgm -> small_729.pgm
OK   small_348.pgm -> small_348.pgm
OK   small_676.pgm -> small_676.pgm
OK   small_1487.pgm -> small_1487.pgm
