filename,op,ms
small_056.pgm,gauss,0.058368
small_056.pgm,sobel,0.017408
small_056.pgm,histeq,0.11776
small_087.pgm,gauss,0.011264
small_087.pgm,sobel,0.004096
small_087.pgm,histeq,0.028672
small_172.pgm,gauss,0.011264
small_172.pgm,sobel,0.00512
small_172.pgm,histeq,0.027648
small_175.pgm,gauss,0.012288
small_175.pgm,sobel,0.00512
small_175.pgm,histeq,0.027648
small_109.pgm,gauss,0.011264
small_109.pgm,sobel,0.00512
small_109.pgm,histeq,0.027648
small_051.pgm,gauss,0.0112
small_051.pgm,sobel,0.00512
small_051.pgm,histeq,0.027648
small_080.pgm,gauss,0.011264
small_080.pgm,sobel,0.006144
small_080.pgm,histeq,0.026656
small_023.pgm,gauss,0.011264
small_023.pgm,sobel,0.00512
small_023.pgm,histeq,0.0256
small_107.pgm,gauss,0.01024
small_107.pgm,sobel,0.00512
small_107.pgm,histeq,0.0256
small_100.pgm,gauss,0.009216
small_100.pgm,sobel,0.00512
small_100.pgm,histeq,0.026624
small_058.pgm,gauss,0.01024
small_058.pgm,sobel,0.00512
small_058.pgm,histeq,0.0256
small_089.pgm,gauss,0.011264
small_089.pgm,sobel,0.00512
small_089.pgm,histeq,0.0256
small.pgm,gauss,0.009216
small.pgm,sobel,0.00512
small.pgm,histeq,0.026624
small_024.pgm,gauss,0.01024
small_024.pgm,sobel,0.00512
small_024.pgm,histeq,0.0256
small_135.pgm,gauss,0.013312
small_135.pgm,sobel,0.00512
small_135.pgm,histeq,0.03072
small_149.pgm,gauss,0.01024
small_149.pgm,sobel,0.00512
small_149.pgm,histeq,0.026624
small_198.pgm,gauss,0.01024
small_198.pgm,sobel,0.00512
small_198.pgm,histeq,0.0256
small_011.pgm,gauss,0.01024
small_011.pgm,sobel,0.006144
small_011.pgm,histeq,0.0256
small_016.pgm,gauss,0.011264
small_016.pgm,sobel,0.006144
small_016.pgm,histeq,0.026624
small_132.pgm,gauss,0.011264
small_132.pgm,sobel,0.00512
small_132.pgm,histeq,0.0256
small_140.pgm,gauss,0.01024
small_140.pgm,sobel,0.006144
small_140.pgm,histeq,0.0256
small_191.pgm,gauss,0.01024
small_191.pgm,sobel,0.00512
small_191.pgm,histeq,0.0256
small_018.pgm,gauss,0.01024
small_018.pgm,sobel,0.006144
small_018.pgm,histeq,0.026624
small_064.pgm,gauss,0.01024
small_064.pgm,sobel,0.006144
small_064.pgm,histeq,0.026624
small_063.pgm,gauss,0.01024
small_063.pgm,sobel,0.00512
small_063.pgm,histeq,0.026624
small_147.pgm,gauss,0.01024
small_147.pgm,sobel,0.006144
small_147.pgm,histeq,0.026624
small_196.pgm,gauss,0.011264
small_196.pgm,sobel,0.00512
small_196.pgm,histeq,0.026624
small_072.pgm,gauss,0.01024
small_072.pgm,sobel,0.006144
small_072.pgm,histeq,0.026624
small_187.pgm,gauss,0.01024
small_187.pgm,sobel,0.00512
small_187.pgm,histeq,0.0256
small_156.pgm,gauss,0.01024
small_156.pgm,sobel,0.00512
small_156.pgm,histeq,0.0256
small_009.pgm,gauss,0.0112
small_009.pgm,sobel,0.006144
small_009.pgm,histeq,0.0256
small_180.pgm,gauss,0.01024
small_180.pgm,sobel,0.00512
small_180.pgm,histeq,0.0256
small_151.pgm,gauss,0.01024
small_151.pgm,sobel,0.00512
small_151.pgm,histeq,0.0256
small_075.pgm,gauss,0.012288
small_075.pgm,sobel,0.00512
small_075.pgm,histeq,0.029696
small_007.pgm,gauss,0.01024
small_007.pgm,sobel,0.00512
small_007.pgm,histeq,0.0256
small_123.pgm,gauss,0.01024
small_123.pgm,sobel,0.01024
small_123.pgm,histeq,0.026624
small_124.pgm,gauss,0.01024
small_124.pgm,sobel,0.00512
small_124.pgm,histeq,0.0256
small_189.pgm,gauss,0.01024
small_189.pgm,sobel,0.006144
small_189.pgm,histeq,0.0256
small_158.pgm,gauss,0.011264
small_158.pgm,sobel,0.005184
small_158.pgm,histeq,0.026624
small_098.pgm,gauss,0.01024
small_098.pgm,sobel,0.00512
small_098.pgm,histeq,0.025632
small_049.pgm,gauss,0.01024
small_049.pgm,sobel,0.00512
small_049.pgm,histeq,0.026624
small_111.pgm,gauss,0.010208
small_111.pgm,sobel,0.006144
small_111.pgm,histeq,0.0256
small_035.pgm,gauss,0.01024
small_035.pgm,sobel,0.00512
small_035.pgm,histeq,0.0256
small_032.pgm,gauss,0.011264
small_032.pgm,sobel,0.004096
small_032.pgm,histeq,0.026624
small_116.pgm,gauss,0.011264
small_116.pgm,sobel,0.00512
small_116.pgm,histeq,0.026624
small_164.pgm,gauss,0.011264
small_164.pgm,sobel,0.00512
small_164.pgm,histeq,0.026688
small_091.pgm,gauss,0.011232
small_091.pgm,sobel,0.00512
small_091.pgm,histeq,0.0256
small_040.pgm,gauss,0.01024
small_040.pgm,sobel,0.00512
small_040.pgm,histeq,0.0256
small_118.pgm,gauss,0.01024
small_118.pgm,sobel,0.00512
small_118.pgm,histeq,0.027648
small_096.pgm,gauss,0.011264
small_096.pgm,sobel,0.006144
small_096.pgm,histeq,0.027648
